user_pseudo_id,total_events,page_views,scrolls,engagements,sessions,device,country,active_days,engagement_rate,scroll_rate,session_rate
51057319.13,1,0,1,0,0,desktop,United Arab Emirates,1,0.0,,0.0
51063551.07,1,1,0,0,0,desktop,Italy,1,0.0,0.0,0.0
51099304.39,1,0,0,1,0,desktop,Singapore,1,1.0,,0.0
51180666.51,1,0,0,1,0,desktop,Poland,1,1.0,,0.0
51332807.24,1,0,1,0,0,desktop,Qatar,1,0.0,,0.0
51398150.41,1,0,0,0,0,mobile,United States,1,0.0,,0.0
51400957.15,1,0,0,0,0,desktop,United States,1,0.0,,0.0
51511521.58,1,0,1,0,0,desktop,India,1,0.0,,0.0
51549306.46,1,0,0,0,1,desktop,Germany,1,0.0,,1.0
51575039.73,1,0,1,0,0,desktop,India,1,0.0,,0.0
51576888.33,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
51908888.99,1,0,1,0,0,mobile,India,1,0.0,,0.0
52073744.56,3,1,0,0,0,desktop,Canada,1,0.0,0.0,0.0
52142343.48,1,0,0,1,0,mobile,Canada,1,1.0,,0.0
52281228.57,1,0,0,0,1,mobile,United States,1,0.0,,1.0
52330380.51,1,0,0,0,0,mobile,United States,1,0.0,,0.0
52437634.1,1,1,0,0,0,mobile,Taiwan,1,0.0,0.0,0.0
52609412.77,1,0,0,1,0,mobile,United States,1,1.0,,0.0
52671499.48,1,0,0,0,1,mobile,Netherlands,1,0.0,,1.0
52738849.44,1,1,0,0,0,desktop,Italy,1,0.0,0.0,0.0
52851900.98,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
52857286.31,1,0,0,1,0,desktop,France,1,1.0,,0.0
52873910.38,1,1,0,0,0,desktop,Germany,1,0.0,0.0,0.0
52926719.91,1,0,0,0,0,desktop,Canada,1,0.0,,0.0
53081337.95,1,0,0,0,1,desktop,Canada,1,0.0,,1.0
53104811.82,1,0,0,1,0,tablet,Philippines,1,1.0,,0.0
53190765.52,1,0,1,0,0,desktop,Canada,1,0.0,,0.0
53297570.92,1,0,0,1,0,mobile,United States,1,1.0,,0.0
53332487.13,1,0,1,0,0,desktop,Canada,1,0.0,,0.0
53339064.15,1,0,0,1,0,mobile,North Macedonia,1,1.0,,0.0
53447288.49,2,1,0,1,0,mobile,Morocco,1,0.5,0.0,0.0
53489201.19,1,1,0,0,0,mobile,Spain,1,0.0,0.0,0.0
53550354.64,1,0,0,0,0,desktop,United States,1,0.0,,0.0
53595940.01,1,0,0,0,0,mobile,United States,1,0.0,,0.0
53644656.51,1,0,0,1,0,desktop,Spain,1,1.0,,0.0
53747912.26,1,1,0,0,0,desktop,Belgium,1,0.0,0.0,0.0
53782595.87,2,1,1,0,0,mobile,United States,1,0.0,1.0,0.0
53837279.14,1,0,0,0,1,desktop,Hungary,1,0.0,,1.0
54066836.16,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
54067963.44,1,0,0,1,0,mobile,India,1,1.0,,0.0
54124872.48,1,1,0,0,0,mobile,Singapore,1,0.0,0.0,0.0
54177390.41,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
54178523.46,2,0,1,1,0,desktop,Hong Kong,1,0.5,,0.0
54274703.37,1,0,0,1,0,mobile,United States,1,1.0,,0.0
54291444.84,1,0,1,0,0,desktop,United States,1,0.0,,0.0
54347538.68,1,0,0,1,0,desktop,Netherlands,1,1.0,,0.0
54401285.4,1,0,0,0,0,desktop,United States,1,0.0,,0.0
54438158.86,1,1,0,0,0,mobile,Spain,1,0.0,0.0,0.0
54455637.4,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
54479758.66,1,0,0,0,1,mobile,Spain,1,0.0,,1.0
54665136.71,1,0,0,0,1,mobile,Taiwan,1,0.0,,1.0
54676341.32,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
54863718.75,1,0,0,1,0,mobile,United States,1,1.0,,0.0
54897311.05,1,0,1,0,0,mobile,India,1,0.0,,0.0
54979654.43,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
55039004.3,2,0,0,1,0,desktop,United States,1,0.5,,0.0
55069909.38,1,0,0,1,0,desktop,Canada,1,1.0,,0.0
55104787.02,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
55113822.24,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
55129516.47,1,0,0,1,0,mobile,Philippines,1,1.0,,0.0
55193031.43,1,0,0,0,0,desktop,United States,1,0.0,,0.0
55211312.69,1,0,1,0,0,mobile,United States,1,0.0,,0.0
55393762.65,1,0,0,1,0,tablet,United States,1,1.0,,0.0
55412735.9,1,1,0,0,0,mobile,United Arab Emirates,1,0.0,0.0,0.0
55542931.71,2,0,0,1,0,mobile,United States,2,0.5,,0.0
55579986.49,1,0,0,0,1,desktop,United States,1,0.0,,1.0
55593768.53,2,2,0,0,0,desktop,Singapore,1,0.0,0.0,0.0
55724044.82,1,1,0,0,0,desktop,Saudi Arabia,1,0.0,0.0,0.0
55795512.51,1,0,0,1,0,desktop,South Korea,1,1.0,,0.0
55806513.45,1,0,1,0,0,desktop,United States,1,0.0,,0.0
55820681.0,1,1,0,0,0,desktop,Japan,1,0.0,0.0,0.0
55842847.05,1,0,0,1,0,desktop,Netherlands,1,1.0,,0.0
55927479.85,1,0,0,1,0,desktop,United States,1,1.0,,0.0
56098743.4,1,1,0,0,0,desktop,Japan,1,0.0,0.0,0.0
56112761.42,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
56223172.67,1,1,0,0,0,mobile,United Kingdom,1,0.0,0.0,0.0
56279649.54,1,0,0,1,0,desktop,Canada,1,1.0,,0.0
56410544.57,1,0,0,0,0,desktop,(not set),1,0.0,,0.0
56420768.6,1,0,0,0,0,desktop,Taiwan,1,0.0,,0.0
56425953.71,1,0,0,0,1,mobile,Turkey,1,0.0,,1.0
56458739.43,1,0,0,0,0,desktop,United States,1,0.0,,0.0
56527638.77,1,1,0,0,0,desktop,India,1,0.0,0.0,0.0
56545394.69,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
56569556.72,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
56603580.45,1,0,0,0,1,mobile,United States,1,0.0,,1.0
56727311.65,1,0,0,0,0,desktop,South Korea,1,0.0,,0.0
56731247.06,1,0,0,1,0,mobile,India,1,1.0,,0.0
56773588.26,1,0,0,1,0,mobile,India,1,1.0,,0.0
56895884.46,1,1,0,0,0,mobile,Lebanon,1,0.0,0.0,0.0
56924745.9,1,0,0,1,0,mobile,United States,1,1.0,,0.0
56932697.85,1,0,0,1,0,mobile,India,1,1.0,,0.0
56985234.99,1,1,0,0,0,mobile,India,1,0.0,0.0,0.0
57045581.57,1,0,0,1,0,desktop,Japan,1,1.0,,0.0
57137418.15,1,0,1,0,0,mobile,South Korea,1,0.0,,0.0
57319697.69,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
57419531.49,1,0,0,0,1,mobile,Japan,1,0.0,,1.0
57524679.02,1,0,0,1,0,mobile,United States,1,1.0,,0.0
57541029.84,1,0,0,1,0,mobile,Poland,1,1.0,,0.0
57617993.86,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
57645115.7,1,0,0,0,1,desktop,United States,1,0.0,,1.0
57669125.74,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
57753467.86,2,2,0,0,0,desktop,Indonesia,1,0.0,0.0,0.0
57891067.98,1,0,0,1,0,desktop,Singapore,1,1.0,,0.0
57895417.48,1,0,0,0,1,desktop,Canada,1,0.0,,1.0
58093391.31,2,0,1,1,0,desktop,India,1,0.5,,0.0
58186534.96,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
58235854.57,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
58350081.94,1,0,1,0,0,desktop,Chile,1,0.0,,0.0
58383536.65,1,1,0,0,0,mobile,Greece,1,0.0,0.0,0.0
58412362.97,1,0,1,0,0,desktop,United States,1,0.0,,0.0
58464155.24,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
58627487.57,1,0,0,1,0,mobile,Singapore,1,1.0,,0.0
58682593.78,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
58728826.85,1,0,0,1,0,tablet,Singapore,1,1.0,,0.0
58752485.41,1,0,0,1,0,mobile,United States,1,1.0,,0.0
58817253.23,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
58847820.99,1,0,0,0,0,mobile,United States,1,0.0,,0.0
59101427.61,1,1,0,0,0,mobile,Slovenia,1,0.0,0.0,0.0
59107271.74,1,0,1,0,0,desktop,United States,1,0.0,,0.0
59115487.8,1,0,0,0,0,desktop,United States,1,0.0,,0.0
59143831.95,2,1,0,1,0,desktop,United States,1,0.5,0.0,0.0
59156619.44,1,0,0,1,0,desktop,United States,1,1.0,,0.0
59277247.35,1,1,0,0,0,desktop,Mexico,1,0.0,0.0,0.0
59304688.25,1,0,1,0,0,mobile,Japan,1,0.0,,0.0
59419929.49,1,0,0,1,0,desktop,Canada,1,1.0,,0.0
59454923.04,1,1,0,0,0,desktop,Romania,1,0.0,0.0,0.0
59533896.53,2,0,0,1,0,desktop,United States,1,0.5,,0.0
59546526.11,1,0,0,0,0,mobile,United States,1,0.0,,0.0
59613518.26,1,1,0,0,0,mobile,Italy,1,0.0,0.0,0.0
59730381.12,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
59823842.64,1,0,0,0,0,desktop,United States,1,0.0,,0.0
60005178.59,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
60027346.87,1,0,1,0,0,desktop,Indonesia,1,0.0,,0.0
60058484.22,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
60107525.42,1,0,0,0,0,desktop,United States,1,0.0,,0.0
60151055.57,2,0,1,0,1,mobile,United States,1,0.0,,0.5
60209170.6,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
60265707.69,1,0,0,1,0,mobile,Mexico,1,1.0,,0.0
60266632.3,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
60304773.1,2,2,0,0,0,mobile,United States,1,0.0,0.0,0.0
60407968.07,1,0,0,0,0,desktop,United States,1,0.0,,0.0
60446024.54,1,0,0,0,0,mobile,Sri Lanka,1,0.0,,0.0
60611326.35,1,0,0,1,0,mobile,South Korea,1,1.0,,0.0
60628451.6,1,1,0,0,0,desktop,United Kingdom,1,0.0,0.0,0.0
60746062.1,1,0,0,1,0,mobile,Denmark,1,1.0,,0.0
60761493.93,1,0,0,0,0,mobile,United States,1,0.0,,0.0
60919773.58,1,0,0,0,0,desktop,United States,1,0.0,,0.0
60927109.3,1,0,0,0,0,desktop,Ukraine,1,0.0,,0.0
61031472.87,1,0,0,1,0,desktop,Qatar,1,1.0,,0.0
61070408.25,1,0,0,0,0,desktop,Spain,1,0.0,,0.0
61071422.59,1,0,0,1,0,desktop,United States,1,1.0,,0.0
61088621.63,1,1,0,0,0,mobile,Germany,1,0.0,0.0,0.0
61118967.81,1,0,0,0,0,desktop,United States,1,0.0,,0.0
61146373.3,1,0,0,0,1,desktop,France,1,0.0,,1.0
61155075.14,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
61243611.58,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
61401110.69,1,0,0,1,0,mobile,Indonesia,1,1.0,,0.0
61489475.18,1,1,0,0,0,mobile,United Kingdom,1,0.0,0.0,0.0
61501468.83,1,1,0,0,0,mobile,Mexico,1,0.0,0.0,0.0
61586940.1,1,0,0,1,0,mobile,Sweden,1,1.0,,0.0
61674267.34,1,0,0,1,0,desktop,United States,1,1.0,,0.0
61707264.57,1,1,0,0,0,desktop,India,1,0.0,0.0,0.0
61734119.82,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
61747314.62,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
61749419.06,1,0,0,0,0,tablet,Germany,1,0.0,,0.0
61926936.55,1,0,0,1,0,desktop,North Macedonia,1,1.0,,0.0
62006600.85,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
