user_pseudo_id,item_id,interaction,event_timestamp
62782836.81848108,GGOEGDHJ116899,1,2021-01-09 12:34:49.609379
62782836.81848108,GGOEGDBJ132299,1,2021-01-09 12:34:49.609379
62782836.81848108,GGOEGDHB137399,1,2021-01-09 12:34:49.609379
62782836.81848108,GGOEGDHL116999,1,2021-01-09 12:34:49.609379
56420768.60369473,GGOEGAEC134910,1,2021-01-10 08:03:03.257009
56420768.60369473,GGOEGAEJ135510,1,2021-01-10 08:03:03.257009
56420768.60369473,GGOEYHBB102199,1,2021-01-10 08:03:03.257009
56420768.60369473,GGOEGXXX0913,1,2021-01-10 08:03:03.257009
56420768.60369473,GGOEGAEB105210,1,2021-01-10 08:03:03.257009
56420768.60369473,GGOEGXXX1109,1,2021-01-10 08:03:03.257009
56420768.60369473,GGOEGXXX1345,1,2021-01-10 08:03:03.257009
56420768.60369473,GGOEGXXX1613,1,2021-01-10 08:03:03.257009
56420768.60369473,GGOEGXXX1613,1,2021-01-10 08:03:03.257009
56420768.60369473,GGOEAXXX1308,1,2021-01-10 08:03:03.257009
56420768.60369473,GGOEGAXA123610,1,2021-01-10 08:03:03.257009
56420768.60369473,GGOEGAPH161899,1,2021-01-10 08:03:03.257009
66787047.191695735,GGOEGCKR149499,1,2021-01-10 12:34:59.628871
66787047.191695735,GGOEAFKA087599,1,2021-01-10 12:34:59.628871
66787047.191695735,GGOEGXXX1176,1,2021-01-10 12:34:59.628871
66787047.191695735,GGOEGCKC146399,1,2021-01-10 12:34:59.628871
66787047.191695735,GGOEGCKT149599,1,2021-01-10 12:34:59.628871
66787047.191695735,GGOEGCKH148999,1,2021-01-10 12:34:59.628871
66787047.191695735,GGOEGCKC152399,1,2021-01-10 12:34:59.628871
66787047.191695735,GGOEGCKB140599,1,2021-01-10 12:34:59.628871
66787047.191695735,GGOEGCKH152299,1,2021-01-10 12:34:59.628871
66787047.191695735,GGOEGCKR133899,1,2021-01-10 12:34:59.628871
66787047.191695735,GGOEGCKC144299,1,2021-01-10 12:34:59.628871
66787047.191695735,GGOEGCKH148399,1,2021-01-10 12:34:59.628871
5613969.974205009,9199127,4,2021-01-31 14:10:55.802743
61950105.098257266,9195295,4,2020-12-25 01:10:56.935851
61950105.098257266,9195911,4,2020-12-25 01:10:56.935851
61950105.098257266,9195966,4,2020-12-25 01:10:56.935851
61950105.098257266,9185002,4,2020-12-25 01:10:56.935851
61950105.098257266,9188311,4,2020-12-25 01:10:56.935851
3660202690.0921326,9195937,4,2021-01-10 06:11:05.256411
3660202690.0921326,9200600,4,2021-01-10 06:11:05.256411
3660202690.0921326,9195941,4,2021-01-10 06:11:05.256411
3660202690.0921326,9184980,4,2021-01-10 06:11:05.256411
3660202690.0921326,9180823,4,2021-01-10 06:11:05.256411
41872628.91235369,GGOEGDBJ132299,1,2021-01-01 07:40:17.455295
41872628.91235369,GGOEGDNQ138099,1,2021-01-01 07:40:17.455295
41872628.91235369,GGOEADHH129499,1,2021-01-01 07:40:17.455295
41872628.91235369,GGOEADWJ129399,1,2021-01-01 07:40:17.455295
41872628.91235369,GGOEGDHB137399,1,2021-01-01 07:40:17.455295
41872628.91235369,GGOEGDBD132099,1,2021-01-01 07:40:17.455295
41872628.91235369,GGCOGDHC101099,1,2021-01-01 07:40:17.455295
41872628.91235369,GGOEGDHJ136799,1,2021-01-01 07:40:17.455295
41872628.91235369,GGOEGDHL116999,1,2021-01-01 07:40:17.455295
41872628.91235369,GGOEGDHQ127799,1,2021-01-01 07:40:17.455295
41872628.91235369,GGOEGDHB137399,1,2021-01-01 07:40:17.455295
41872628.91235369,GGOEGDHJ116899,1,2021-01-01 07:40:17.455295
62782836.81848108,GGOEYOLB151999,1,2021-01-09 12:49:14.125795
62782836.81848108,GGOEGOCJ093999,1,2021-01-09 12:49:14.125795
62782836.81848108,GGOEGOCB131799,1,2021-01-09 12:49:14.125795
62782836.81848108,GGOEGOLR152199,1,2021-01-09 12:49:14.125795
62782836.81848108,GGOEGOLA127499,1,2021-01-09 12:49:14.125795
62782836.81848108,GGOEGOCA121699,1,2021-01-09 12:49:14.125795
62782836.81848108,GGOEYOCR125599,1,2021-01-09 12:49:14.125795
62782836.81848108,GGCOGOCA157331,1,2021-01-09 12:49:14.125795
62782836.81848108,GGOEGOLJ137999,1,2021-01-09 12:49:14.125795
62782836.81848108,GGOEGOCR132199,1,2021-01-09 12:49:14.125795
62782836.81848108,GGCOGOCC101199,1,2021-01-09 12:49:14.125795
62782836.81848108,GGOEGOCA121799,1,2021-01-09 12:49:14.125795
4044293294.915701,GGOEAFBA115499,1,2021-01-09 07:31:14.789173
4044293294.915701,GGOEAOCB092799,1,2021-01-09 07:31:14.789173
4044293294.915701,GGOEAOCB092899,1,2021-01-09 07:31:14.789173
4044293294.915701,GGOEAFKA087599,1,2021-01-09 07:31:14.789173
4044293294.915701,GGOEGXXX0906,1,2021-01-09 07:31:14.789173
4044293294.915701,GGOEGXXX0905,1,2021-01-09 07:31:14.789173
4044293294.915701,GGOEACBA104599,1,2021-01-09 07:31:14.789173
4044293294.915701,GGOEGXXX1181,1,2021-01-09 07:31:14.789173
4044293294.915701,GGOEGXXX0919,1,2021-01-09 07:31:14.789173
4044293294.915701,GGOEGOCL092999,1,2021-01-09 07:31:14.789173
4044293294.915701,GGOEGXXX0962,1,2021-01-09 07:31:14.789173
4044293294.915701,GGOEAFBA115599,1,2021-01-09 07:31:14.789173
13140650.35923689,GGOEGXXX1378,1,2020-11-14 06:35:35.902200
13140650.35923689,GGOEGXXX1084,1,2020-11-14 06:35:35.902200
13140650.35923689,GGOEGXXX1182,1,2020-11-14 06:35:35.902200
13140650.35923689,GGOEGXXX1337,1,2020-11-14 06:35:35.902200
13140650.35923689,GGOEGXXX1082,1,2020-11-14 06:35:35.902200
13140650.35923689,GGOEGXXX0962,1,2020-11-14 06:35:35.902200
13140650.35923689,GGOEGXXX1412,1,2020-11-14 06:35:35.902200
13140650.35923689,GGOEGXXX1372,1,2020-11-14 06:35:35.902200
13140650.35923689,GGOEGXXX1534,1,2020-11-14 06:35:35.902200
13140650.35923689,GGOEGXXX1428,1,2020-11-14 06:35:35.902200
13140650.35923689,GGOEGXXX1441,1,2020-11-14 06:35:35.902200
13140650.35923689,GGOEGXXX1404,1,2020-11-14 06:35:35.902200
8879718.778108442,9180829,3,2020-12-25 09:42:45.090492
8879718.778108442,GGOEGFKA022299,3,2020-12-25 09:42:45.090492
8879718.778108442,GGOEGBJJ099499,3,2020-12-25 09:42:45.090492
8879718.778108442,GGOEGDWJ141799,3,2020-12-25 09:42:45.090492
8879718.778108442,GGOEGABL100799,3,2020-12-25 09:42:45.090492
8879718.778108442,GGOEGBJH131899,3,2020-12-25 09:42:45.090492
8879718.778108442,GGOEGBJQ125099,3,2020-12-25 09:42:45.090492
8879718.778108442,GGOEGDWQ123399,3,2020-12-25 09:42:45.090492
8879718.778108442,GGOEGDWD108799,3,2020-12-25 09:42:45.090492
8879718.778108442,GGOEGDNL108699,3,2020-12-25 09:42:45.090492
